@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute neutral numeric
@attribute smile numeric
@attribute surprise numeric

@data
848,'2017/10/21 23:24:51:317',16,364.006439,319.936035,5.493737,0.062211,-0.025659,0.035299,13.327523,2.245514,7.180007,7.169018,3.067157,3.023312,23.44083,6.111181,0,1,0
849,'2017/10/21 23:24:51:382',16,363.942108,319.860596,5.507321,0.074487,-0.026311,0.040716,12.811748,1.96178,7.199526,7.178967,3.102268,3.070676,23.539085,6.051837,0,1,0
850,'2017/10/21 23:24:51:483',16,364.236603,319.824982,5.505639,0.068361,-0.028248,0.052374,13.079546,2.106545,7.197676,7.172718,2.990754,2.980058,23.515635,6.069773,0,1,0
851,'2017/10/21 23:24:51:550',16,363.991486,319.909576,5.510497,0.07961,-0.026489,0.054732,12.828368,1.976994,7.067643,7.050911,3.080749,3.081473,23.396955,6.079251,0,1,0
852,'2017/10/21 23:24:51:650',16,363.734985,319.891968,5.512671,0.073866,-0.025527,0.050837,12.970839,1.988857,7.0306,7.013286,3.187691,3.178342,23.418011,6.056139,0,1,0
853,'2017/10/21 23:24:51:716',16,363.744598,319.935516,5.519829,0.076884,-0.025387,0.052478,12.967349,1.933327,6.968954,6.953984,3.166568,3.161977,23.402822,6.136644,0,1,0
854,'2017/10/21 23:24:51:817',16,363.810883,319.916595,5.521975,0.070797,-0.025326,0.0514,12.868928,1.900753,6.972527,6.958814,3.17231,3.165531,23.453363,6.064504,0,1,0
855,'2017/10/21 23:24:51:872',16,363.762146,320.164215,5.525307,0.071568,-0.024185,0.052223,12.80762,1.876663,6.934036,6.923744,3.203234,3.201671,23.338379,6.11888,0,1,0
856,'2017/10/21 23:24:51:938',16,363.398163,319.988159,5.532674,0.086803,-0.021348,0.050322,12.938189,1.860958,6.941045,6.941627,3.148802,3.144994,23.372332,6.124431,0,1,0
857,'2017/10/21 23:24:52:049',16,362.446472,320.372467,5.539207,0.093728,-0.014174,0.050953,12.750505,1.676751,6.933287,6.921084,3.203339,3.206567,23.096548,6.076256,0,1,0
858,'2017/10/21 23:24:52:117',16,361.699738,320.134216,5.539877,0.089504,-0.010385,0.05203,13.078686,1.908457,6.927567,6.924689,3.183797,3.192667,23.3274,6.030863,0,1,0
859,'2017/10/21 23:25:08:084',17,354.18631,319.175842,5.729047,-0.002547,0.016203,0.035059,11.42698,2.142415,6.80239,6.823991,2.94499,2.926828,25.858982,5.650285,0,0,1
860,'2017/10/21 23:25:08:151',17,354.007782,319.270111,5.727098,-0.006188,0.016691,0.032093,11.407676,2.089923,6.811472,6.835432,2.977507,2.957162,25.890802,5.623777,0,0,1
861,'2017/10/21 23:25:08:249',17,354.003296,319.324005,5.730591,-0.003936,0.017574,0.032436,11.381196,2.099518,6.837315,6.856574,2.971331,2.946597,25.874763,5.636991,0,0,1
862,'2017/10/21 23:25:08:318',17,353.885101,319.338867,5.731328,-0.005311,0.017537,0.032874,11.432266,2.070745,6.834186,6.852102,2.990185,2.972486,25.867748,5.60584,0,0,1
863,'2017/10/21 23:25:08:402',17,354.003326,319.155487,5.73012,-0.000278,0.017053,0.032093,11.367401,2.101612,6.847312,6.863527,2.942053,2.922162,25.945265,5.59197,0,0,1
864,'2017/10/21 23:25:08:469',17,354.066376,319.23764,5.730093,-0.006144,0.017043,0.031493,11.384489,2.101902,6.839085,6.854485,2.956591,2.932472,25.93417,5.636559,0,0,1
865,'2017/10/21 23:25:08:568',17,354.169434,319.315643,5.731014,-0.005121,0.017267,0.032075,11.390907,2.079519,6.860759,6.873192,2.938955,2.912222,25.973608,5.622015,0,0,1
866,'2017/10/21 23:25:08:654',17,354.160156,319.454102,5.723715,-0.007352,0.016848,0.031212,11.479488,2.114531,6.885621,6.902869,2.902457,2.880045,25.963881,5.637856,0,0,1
867,'2017/10/21 23:25:08:719',17,354.185913,319.315338,5.721556,-0.008168,0.016442,0.033199,11.417309,2.083836,6.881756,6.900036,2.899701,2.880413,26.011927,5.592158,0,0,1
868,'2017/10/21 23:25:08:819',17,354.19043,319.411987,5.720862,-0.009696,0.017218,0.030417,11.460604,2.048546,6.886436,6.90613,2.908608,2.887273,25.963642,5.623122,0,0,1
869,'2017/10/21 23:25:08:869',17,354.159607,319.242737,5.723934,-0.007806,0.016663,0.030246,11.394607,2.095825,6.901881,6.925092,2.909751,2.887025,26.031553,5.586293,0,0,1
870,'2017/10/21 23:25:08:968',17,354.212921,319.119354,5.724923,0.000432,0.015399,0.030995,11.443687,2.070849,6.892994,6.911927,2.912318,2.893919,25.978868,5.626584,0,0,1
871,'2017/10/21 23:25:09:034',17,354.230927,319.185547,5.725121,-0.001997,0.015585,0.031485,11.458859,2.144132,6.918969,6.935161,2.907181,2.888285,26.016123,5.598435,0,0,1
872,'2017/10/21 23:25:09:135',17,354.389099,318.979187,5.728735,-0.000955,0.015604,0.032229,11.451861,2.1022,6.835217,6.858613,2.888154,2.872503,26.036194,5.631936,0,0,1
873,'2017/10/21 23:25:09:201',17,354.428772,319.018311,5.722906,-0.007943,0.015542,0.033405,11.471088,2.166528,6.824262,6.840952,2.93427,2.916817,25.992537,5.653055,0,0,1
874,'2017/10/21 23:25:09:268',17,354.460541,318.952972,5.72588,-0.009874,0.014466,0.03349,11.422262,2.07638,6.801508,6.816678,2.950298,2.93365,26.034336,5.617641,0,0,1
875,'2017/10/21 23:25:09:369',17,355.611328,318.560852,5.72679,-0.011701,0.003292,0.031691,11.280201,2.161003,6.81903,6.841565,2.90536,2.893654,26.131395,5.779234,0,0,1
